acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
91220.0,37.0,3.2531307,60.030617,-147.2133,-11.455194,-2.185449,7.663638,-0.3685695,1.3560008,0.7365197,1.0378499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91230.0,37.0,3.6637092,61.752853,-146.17424,-9.521421,-2.236188,6.344018,-0.5410146,1.9860015,0.738979,0.7325996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91240.0,34.0,3.9758596,63.474213,-145.17928,-7.122163,-2.1753945,5.081597,-0.71500087,2.420748,0.6951082,0.7325996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91250.0,29.0,4.260757,65.01402,-144.23618,-4.615922,-1.9595749,4.390948,-0.84422606,2.612806,0.64245665,0.54944944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91260.0,33.0,4.410391,66.17865,-143.5163,-2.1836777,-1.9710475,4.1567726,-0.8728264,2.537006,0.57526606,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91270.0,36.0,4.13355,66.800385,-143.26625,-0.62755716,-1.3312143,4.404765,-0.8693343,2.1402478,0.43301702,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91280.0,36.0,3.4761631,66.881935,-143.37819,-0.22775325,-0.0933953,4.777481,-0.90084636,1.4893314,0.24049723,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91290.0,33.0,2.838876,66.59898,-143.4535,-0.95969725,1.4166313,4.8508773,-0.9482158,0.7843949,0.11700523,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91300.0,33.0,2.4545414,66.17959,-143.3204,-2.4562445,2.8480394,4.5784173,-0.9537038,0.20692244,0.1107902,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91310.0,34.0,2.3180592,65.78565,-143.06508,-4.3021464,3.961147,4.360081,-0.8845393,-0.14891264,0.14084008,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91320.0,34.0,2.4517667,65.46951,-142.7148,-6.1826625,4.500174,4.2907534,-0.71970314,-0.32189763,0.18218006,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
